complexity,length,reward,rmse,expression,expression_prefix,alpha0,f,phi
4,4,0.5013089094934242,0.21258817870505364,(-(phi)-phi),[sub neg phi phi],0.1,1.0,-2.345362517982721
5,5,0.5670608094067694,0.16315868354760155,(phi-(t*f)),[sub phi mul t f],0.1,-0.4763193182284408,4.455611650981795
6,6,0.5845013971413786,0.15191369922463668,(alpha0/(f+((t)**(-1)))),[div alpha0 add f inv t],1326.6657306110374,278.0486404350927,1.0
8,8,0.8341360136536561,0.04249405267162833,(phi-exp((f*(t+t)))),[sub phi exp mul f add t t],0.1,-6.403210656400568,4.774737736360993
9,9,0.8341360141728507,0.04249405251216187,-((phi+exp(((alpha0+f)*t)))),[neg add phi exp mul add alpha0 f t],-6.853406654482628,-5.953406654482628,-4.7747352295819745
10,10,0.8484114531557404,0.03818324131654981,(phi-(exp((f*t))+(alpha0*t))),[sub phi add exp mul f t mul alpha0 t],-0.09420905593635033,-15.101863217760084,4.716431268905468
11,11,0.8484424412437084,0.03817404150782946,(phi-(exp((alpha0*t))+exp((f*t)))),[sub phi add exp mul alpha0 t exp mul f t],-15.144684267746506,-0.09986075104814625,5.7150483500732365
13,13,0.8484424421907499,0.03817404122668005,(phi-(exp((t*f))+exp((t*(alpha0+f))))),[sub phi add exp mul t f exp mul t add alpha0 f],-15.044007559721225,-0.09984028301679027,5.715060029612037
14,14,0.8484424422188025,0.03817404121835206,((-(phi)-exp(((f+alpha0)*t)))-exp((alpha0*t))),[sub sub neg phi exp mul add f alpha0 t exp mul alpha0 t],-0.09984506533831859,-15.044017948328413,-5.71505731913373
15,15,0.8559777845165127,0.03595670765189282,(phi-(exp((((alpha0+alpha0)+f)*t))+exp((alpha0*t)))),[sub phi add exp mul add add alpha0 alpha0 f t exp mul alpha0 t],-12.649529859702566,-10677.503056354142,4.778026170774192
16,16,0.8559777851362631,0.03595670747113183,-(((exp((t*(f+(alpha0+alpha0))))+exp((alpha0*t)))+phi)),[neg add add exp mul t add f add alpha0 alpha0 exp mul alpha0 t phi],-12.649844678498892,-10677.354229040353,-4.77802500259911
17,17,0.8559777859488442,0.035956707234128395,(-(phi)-(((exp(((f+(f-alpha0))*t)))**(2))+exp((f*t)))),[sub neg phi add n2 exp mul add f sub f alpha0 t exp mul f t],5325.719444045827,-12.649887286673396,-4.778026042794111
18,18,0.8559777866128216,0.03595670704046781,-(((exp((alpha0*(t+t)))+exp(((alpha0*t)+(t*f))))+phi)),[neg add add exp mul alpha0 add t t exp add mul alpha0 t mul t f phi],-5350.04219940591,5337.3924316196935,-4.778025689773535
